Taxon	Birdtree_tiplabel	TaxCategory	DryDiagonal	Caatinga	Cerrado	Chaco	Endemic	IUCN	Comments
Charadrius collaris	Charadrius_collaris	SPECIES	x	x	x	x			Migrant
Oreopholus ruficollis	Oreopholus_ruficollis	SPECIES	x						Not Chaco bird....only migrant 
Oreopholus ruficollis ruficollis		SUBSPECIES	x			x			
Himantopus mexicanus	Himantopus_mexicanus	SPECIES	x	x	x	x			
Himantopus mexicanus melanurus		SUBSPECIES	x	x	x	x			
Gallinago paraguaiae	Gallinago_paraguaiae	SPECIES	x	x	x	x			
Gallinago undulata	Gallinago_undulata	SPECIES	x		x				not chacoan!
Gallinago undulata gigantea		SUBSPECIES	x		x	x			
Limnodromus griseus	Limnodromus_griseus	SPECIES	x	x					Coastal and Migrant
Limnodromus griseus griseus 		SUBSPECIES	x						
Limosa haemastica	Limosa_haemastica	SPECIES	x		x	x			Migrant
Bartramia longicauda	Bartramia_longicauda	SPECIES	x		x	x			Migrant
Numenius hudsonicus	Numenius_phaeopus	SPECIES	x		x				Coastal and Migrant
Actitis macularius	Actitis_macularius	SPECIES	x	x	x	x			Migrant
Tringa solitaria	Tringa_solitaria	SPECIES	x	x	x	x			Migrant
Tringa solitaria solitaria		SUBSPECIES	x	x	x	x			
Tringa melanoleuca	Tringa_melanoleuca	SPECIES	x	x	x	x			Migrant
Tringa semipalmata	Catoptrophorus_semipalmatus	SPECIES	x						Coastal and Migrant
Tringa semipalmata semipalmata		SUBSPECIES	x						
Tringa flavipes	Tringa_flavipes	SPECIES	x	x	x	x			Migrant
Arenaria interpres	Arenaria_interpres	SPECIES	x	x					Coastal and Migrant
Arenaria interpres morinella		SUBSPECIES	x	x					
Calidris canutus	Calidris_canutus	SPECIES	x			x		NT	Coastal and Migrant
Calidris canutus rufa		SUBSPECIES	x			x			
Calidris alba	Calidris_alba	SPECIES	x	x	x	x			Migrant
Calidris fuscicollis	Calidris_fuscicollis	SPECIES	x	x	x	x			Migrant
Calidris melanotos	Calidris_melanotos	SPECIES	x	x	x	x			Migrant
Calidris pusilla	Calidris_pusilla	SPECIES	x	x				NT	Migrant
Calidris minutilla	Calidris_minutilla	SPECIES	x	x	x				Migrant
Calidris himantopus	Calidris_himantopus	SPECIES	x		x	x			Migrant
Phalaropus tricolor	Steganopus_tricolor	SPECIES	x		x	x			Migrant
Jacana jacana	Jacana_jacana	SPECIES	x	x	x	x			
Jacana jacana jacana		SUBSPECIES	x						
Chroicocephalus cirrocephalus	Larus_cirrocephalus	SPECIES	x	x		x			Migrant
Chroicocephalus cirrocephalus cirrocephalus		SUBSPECIES	x	x		x			
Leucophaeus atricilla	Larus_atricilla	SPECIES	x						Coastal and Migrant
Leucophaeus atricilla atricilla		SUBSPECIES	x						
Sternula antillarum	Sterna_antillarum	SPECIES	x		x				Coastal and Migrant
Sternula antillarum antillarum		SUBSPECIES	x		x				
Sternula superciliaris	Sterna_superciliaris	SPECIES	x	x	x				Migrant
Phaetusa simplex	Phaetusa_simplex	SPECIES	x	x	x	X			"Migrant, marginal int eh Chaco rivers"
Phaetusa simplex chloropoda		SUBSPECIES	x	x	x				
Gelochelidon nilotica	Sterna_nilotica	SPECIES	x		x				Coastal and Migrant
Gelochelidon nilotica aranea		SUBSPECIES	x		x				
Sterna hirundo	Sterna_hirundo	SPECIES	x	x	x				Migrant
Sterna hirundo hirundo		SUBSPECIES	x	x	x				
Sterna paradisaea	Sterna_paradisaea	SPECIES	x	x	x				Migrant
Thalasseus acuflavidus	Sterna_sandvicensis	SPECIES	x		x				Coastal and Migrant
Thalasseus acuflavidus eurygnathus		SUBSPECIES	x		x				
Rynchops niger	Rynchops_niger	SPECIES	x	x	x	x			Coastal and Migrant
Rynchops niger intercedens		SUBSPECIES	x						
Columbina passerina	Columbina_passerina	SPECIES	x	x	x				Coastal
Columbina passerina griseola		SUBSPECIES	x	x	x				
Columbina minuta	Columbina_minuta	SPECIES	x	x	x				
Columbina minuta minuta		SUBSPECIES	x	x	x				
Columbina talpacoti	Columbina_talpacoti	SPECIES	x	x	x	x			
Columbina talpacoti talpacoti		SUBSPECIES	x	x	x	x			
Columbina squammata	Columbina_squammata	SPECIES	x	x	x				No Chaco
Columbina squammata squammata 		SUBSPECIES	x	x	x	x			
Columbina picui	Columbina_picui	SPECIES	x	x	x	x			
Columbina picui strepitans		SUBSPECIES	x	x	x				
Columbina picui picui		SUBSPECIES	x		x	x			
Columbina cyanopis	Columbina_cyanopis	SPECIES	x		x		CE	CR	
Claravis pretiosa	Claravis_pretiosa	SPECIES	x	x	x				
Uropelia campestris	Uropelia_campestris	SPECIES	x	x	x				
Patagioenas speciosa	Patagioenas_speciosa	SPECIES	x	x	x				
Patagioenas picazuro	Patagioenas_picazuro	SPECIES	x	x	x	x			
Patagioenas picazuro marginalis		SUBSPECIES	x	x	x				
Patagioenas picazuro picazuro 		SUBSPECIES	x	x	x	x			
Patagioenas cayennensis	Patagioenas_cayennensis	SPECIES	x	x	x	x			marginal in Chaco
Patagioenas cayennensis sylvestris		SUBSPECIES	x	x	x	x			
Patagioenas plumbea	Patagioenas_plumbea	SPECIES	x	x	x				
Patagioenas plumbea baeri		SUBSPECIES	x	x	x				
Patagioenas subvinacea	Patagioenas_subvinacea	SPECIES	x		x				Marginal
Patagioenas subvinacea recondita		SUBSPECIES	x		x				
Patagioenas maculosa	Patagioenas_maculosa	SPECIES	x			x			
Patagioenas maculosa albipennis		SUBSPECIES	x			x			
Zenaida auriculata	Zenaida_auriculata	SPECIES	x	x	x	x			
Zenaida auriculata noronha		SUBSPECIES	x	x	x				
Zenaida auriculata noronha		SUBSPECIES	x		x	x			
Leptotila verreauxi	Leptotila_verreauxi	SPECIES	x	x	x	x			
Leptotila verreauxi approximans		SUBSPECIES	x	x					
Leptotila verreauxi decipiens		SUBSPECIES	x		x				
Leptotila verreauxi chalcauchenia		SUBSPECIES	x			x			
Leptotila rufaxilla	Leptotila_rufaxilla	SPECIES	x	x	x				no Chaco
Leptotila rufaxilla bahiae		SUBSPECIES	x	x	x				
Leptotila rufaxilla reichenbachii		SUBSPECIES	x		x	x			
Geotrygon violacea	Geotrygon_violacea	SPECIES	x		x				
Geotrygon violacea violacea		SUBSPECIES	x		x				
Geotrygon montana	Geotrygon_montana	SPECIES	x	x	x				
Geotrygon montana montana		SUBSPECIES	x	x	x				
Opisthocomus hoazin	Opisthocomus_hoazin	SPECIES	x		x				
Coccycua minuta	Coccycua_minuta	SPECIES	x		x				
Coccycua minuta minuta		SUBSPECIES	x		x				
