Taxon	Birdtree_tiplabel	TaxCategory	DryDiagonal	Caatinga	Cerrado	Chaco	Endemic	IUCN	Comments
Paroaria dominicana	Paroaria_dominicana	SPECIES	x	x	x				
Paroaria coronata	Paroaria_coronata	SPECIES	x		x	x			
Paroaria baeri	Paroaria_baeri	SPECIES	x		x		CE		
Paroaria gularis	Paroaria_gularis	SPECIES	x		x				Marginal
Paroaria gularis cervicalis		SUBSPECIES	x		x				
Paroaria capitata	Paroaria_capitata	SPECIES	x		x	x			
Paroaria capitata capitata		SUBSPECIES	x		x	x			
Tangara cyanocephala	Tangara_cyanocephala	SPECIES	x	x					Ssp in brejo os Ceara and Pernambuco/Paraiba
Tangara cyanocephala cearensis		SUBSPECIES	x	x					
Tangara cyanoventris	Tangara_cyanoventris	SPECIES	x	x					Marginal
Tangara mexicana	Tangara_mexicana	SPECIES	x		x				
Tangara mexicana boliviana		SUBSPECIES	x		x				W Tocantins and C Mato Grosso
Stilpnia cyanicollis	Tangara_cyanicollis	SPECIES	x		x				
Tangara cyanicollis melanogaster		SUBSPECIES	x		x				
Tangara cyanicollis albotibialis		SUBSPECIES	x		x				"Veadeiros (Goiás), in EC Brazil."
Stilpnia cayana	Tangara_cayana	SPECIES	x	x	x	x			Only marginal in Chaco.....
Stilpnia cayana flava		SUBSPECIES	x	x	x				
Stilpnia cayana sincipitalis		SUBSPECIES	x		x				
Stilpnia cayana chloroptera		SUBSPECIES	x		x	x			
Thraupis episcopus	Thraupis_episcopus	SPECIES	x		x				
Thraupis episcopus episcopus		SUBSPECIES	x		x				
Thraupis sayaca	Thraupis_sayaca	SPECIES	x	x	x	x			
Thraupis sayaca sayaca		SUBSPECIES	x	x	x	x			
Thraupis palmarum	Thraupis_palmarum	SPECIES	x	x	x				
Thraupis palmarum palmarum		SUBSPECIES	x	x	x				
Lophospingus pusillus	Lophospingus_pusillus	SPECIES	x			x	CH		
Nemosia pileata	Nemosia_pileata	SPECIES	x	x	x				NOt a Chaco bird
Nemosia pileata nana		SUBSPECIES	x	x	x				
Nemosia pileata caerulea		SUBSPECIES	x			x			
Compsothraupis loricata	Compsothraupis_loricata	SPECIES	x	x	x				
Conirostrum speciosum	Conirostrum_speciosum	SPECIES	x	x	x	x			
Conirostrum speciosum speciosum		SUBSPECIES	x	x	x	x			
Sicalis citrina	Sicalis_citrina	SPECIES	x	x	x				
Sicalis citrina citrina		SUBSPECIES	x	x	x				
Sicalis flaveola	Sicalis_flaveola	SPECIES	x	x	x	x			
Sicalis flaveola brasiliensis		SUBSPECIES	x	x	x	x			
Sicalis columbiana	Sicalis_columbiana	SPECIES	x	x	x				
Sicalis columbiana leopoldinae		SUBSPECIES	x	x	x				
Sicalis luteola	Sicalis_luteola	SPECIES	x	x	x	x			
Sicalis luteola luteiventris		SUBSPECIES	x	x	x	x			
Hemithraupis flavicollis	Hemithraupis_flavicollis	SPECIES	x		x				Marginal
Hemithraupis flavicollis centralis		SUBSPECIES	x		x				
Hemithraupis guira	Hemithraupis_guira	SPECIES	x	x	x	x			
Hemithraupis guira guira		SUBSPECIES	x	x	x				
Hemithraupis guira boliviana		SUBSPECIES	x			x			only wet Chaco
Hemithraupis guira amazonica		SUBSPECIES	x		x				Marginal
Hemithraupis ruficapilla	Hemithraupis_ruficapilla	SPECIES	x		x				Marginal
Hemithraupis ruficapilla ruficapilla		SUBSPECIES	x						
Conothraupis mesoleuca	Conothraupis_mesoleuca	SPECIES	x		x		CE	EM	
Volatinia jacarina	Volatinia_jacarina	SPECIES	x	x	x	x			
Volatinia jacarina jacarina		SUBSPECIES	x	x	x	x			
Eucometis penicillata	Eucometis_penicillata	SPECIES	x		x				
Eucometis penicillata penicillata		SUBSPECIES	x		x				
Trichothraupis melanops	Trichothraupis_melanops	SPECIES	x	x	x	X			marginal in wet Chaco....same case as Arremon flavirostris...Absent from Caatinga
Coryphospingus pileatus	Coryphospingus_pileatus	SPECIES	x	x	x				
Coryphospingus pileatus pileatus		SUBSPECIES	x	x	x				
Coryphospingus cucullatus	Coryphospingus_cucullatus	SPECIES	x		x	x			
Coryphospingus cucullatus rubescens		SUBSPECIES	x		x	x			
Loriotus luctuosus	Tachyphonus_luctuosus	SPECIES	x		x				
Loriotus luctuosus luctuosus		SUBSPECIES	x		x				
Loriotus cristatus	Tachyphonus_cristatus	SPECIES	x		x				
Loriotus cristatus madeirae		SUBSPECIES	x		x				
Tachyphonus rufus	Tachyphonus_rufus	SPECIES	x	x	x	x			
Tachyphonus coronatus	Tachyphonus_coronatus	SPECIES	x		x				
Ramphocelus carbo	Ramphocelus_carbo	SPECIES	x	x	x				
Ramphocelus carbo carbo		SUBSPECIES	x	x	x				
Ramphocelus bresilius	Ramphocelus_bresilius	SPECIES	x	x					"Marginal, with two point in Chapada diamantina"
Ramphocelus bresilius bresilius		SUBSPECIES	x	x					
Charitospiza eucosma	Charitospiza_eucosma	SPECIES	x	x	x		CA/CE		
Tersina viridis	Tersina_viridis	SPECIES	x	x	x				
Tersina viridis viridis		SUBSPECIES	x	x	x				
Cyanerpes caeruleus	Cyanerpes_caeruleus	SPECIES	x		x				Marginal
Cyanerpes caeruleus microrhynchus		SUBSPECIES	x		x				
Cyanerpes cyaneus	Cyanerpes_cyaneus	SPECIES	x		x				
Cyanerpes cyaneus violaceus		SUBSPECIES	x		x				
Dacnis flaviventer	Dacnis_flaviventer	SPECIES	x		x				Marginal
Dacnis cayana	Dacnis_cayana	SPECIES	x	x	x				
Dacnis cayana paraguayensis		SUBSPECIES	x	x	x				
Dacnis lineata	Dacnis_lineata	SPECIES	x		x				Marginal
Dacnis lineata lineata		SUBSPECIES	x		x				
Coereba flaveola	Coereba_flaveola	SPECIES	x	x	x	x			
Coereba flaveola chloropyga		SUBSPECIES	x	x	x	x			
Coereba flaveola alleni		SUBSPECIES	x		x				
Asemospiza fuliginosa	Tiaris_fuliginosus	SPECIES	x	x	x				
Sporophila lineola	Sporophila_lineola	SPECIES	x	x	x	x			
Sporophila americana	Sporophila_americana	SPECIES	x		x				Marginal
Sporophila americana americana		SUBSPECIES	x						
Sporophila plumbea	Sporophila_plumbea	SPECIES	x	x	x				
Sporophila plumbea plumbea		SUBSPECIES	x	x	x				
Sporophila beltoni	Sporophila_plumbea	SPECIES	x		x				
Sporophila collaris	Sporophila_collaris	SPECIES	x		x	x			
Sporophila collaris collaris		SUBSPECIES	x		x				
Sporophila collaris melanocephala		SUBSPECIES	x		x	x			
Sporophila collaris ochrascens		SUBSPECIES	x		x				
Sporophila nigricollis	Sporophila_nigricollis	SPECIES	x	x	x				
Sporophila ardesiaca	Sporophila_ardesiaca	SPECIES	x	x	x				
Sporophila caerulescens	Sporophila_caerulescens	SPECIES	x	x	x	x			
Sporophila caerulescens hellmayri		SUBSPECIES	x	x					
Sporophila caerulescens caerulescens		SUBSPECIES	x		x	x			
Sporophila albogularis	Sporophila_albogularis	SPECIES	x	x	x				
Sporophila leucoptera	Sporophila_leucoptera	SPECIES	x	x	x	x			
Sporophila leucoptera leucoptera		SUBSPECIES	x		x	x			
Sporophila leucoptera cinereola		SUBSPECIES	x	x	x				
Sporophila nigrorufa	Sporophila_nigrorufa	SPECIES	x		x	x		VU	
Sporophila bouvreuil	Sporophila_bouvreuil	SPECIES	x	x	x				
Sporophila hypoxantha	Sporophila_hypoxantha	SPECIES	x		x	x			
Sporophila ruficollis	Sporophila_ruficollis	SPECIES	x		x	x		NT	
Sporophila pileata	Sporophila_bouvreuil	SPECIES	x		x				
Sporophila palustris	Sporophila_palustris	SPECIES	x		x			EM	
Sporophila hypochroma	Sporophila_hypochroma	SPECIES	x		x			NT	
Sporophila cinnamomea	Sporophila_cinnamomea	SPECIES	x		x	x		VU	
Sporophila melanogaster	Sporophila_melanogaster	SPECIES	x		x			NT	
Sporophila angolensis	Oryzoborus_angolensis	SPECIES	x		x				
Sporophila angolensis angolensis		SUBSPECIES	x		x				
Sporophila maximiliani	Oryzoborus_maximiliani	SPECIES	x		x			EM	
Sporophila maximiliani maximiliani		SUBSPECIES	x		x				
Coryphaspiza melanotis	Coryphaspiza_melanotis	SPECIES	x	x	x				
Coryphaspiza melanotis melanotis		SUBSPECIES	x	x	x				
Embernagra platensis	Embernagra_platensis	SPECIES	x			x			
Embernagra platensis platensis		SUBSPECIES	x			x			
Embernagra longicauda	Embernagra_longicauda	SPECIES	x	x	x				
Emberizoides herbicola	Emberizoides_herbicola	SPECIES	x	x	x	x			
Emberizoides herbicola sphenurus		SUBSPECIES	x	x	x				Emberizoides herbicola sphenurus
Emberizoides herbicola herbicola		SUBSPECIES	x		x	x			"E and S Brazil (Mato Grosso E to Rio Grande do Norte, S to Rio Grande do Sul), Paraguay, N Argentina (Formosa and Misiones S to Entre Ríos and N Santa Fe) and N Uruguay (Rivera)."
Emberizoides ypiranganus	Emberizoides_ypiranganus	SPECIES	x		x				
Saltatricula atricollis	Saltator_atricollis	SPECIES	x	x	x				
Saltatricula multicolor	Saltatricula_multicolor	SPECIES	x			x	Q_CH		
Saltator maximus	Saltator_maximus	SPECIES	x		x				
Saltator maximus maximus		SUBSPECIES	x		x				
Saltator coerulescens	Saltator_coerulescens	SPECIES	x	x	x	x			
Saltator coerulescens superciliaris		SUBSPECIES	x		x	x			"eastward across southwestern Brazil in Mato Grosso, Matto Grosso do Sul, and Rio Grande do Sul. Southward, it ranges through Paraguay to western Uruguay and northern Argentina, at least as far as La Rioja, Córdoba, Santa Fe, and northern Buenos Aires"
Saltator coerulescens mutus		SUBSPECIES	x		x				"by nominate coerulescens in Matto Grosso southward, and by superciliaris in eastern Brazil, south of Maranhão."
Saltator coerulescens superciliaris		SUBSPECIES	x	x	x				"This range-restricted subspecies is endemic to northeastern Brazil, in southern Piauí (15) and Bahia (7, 16), to northern Minas Gerais"
Saltator similis	Saltator_similis	SPECIES	x	x	x				
Saltator similis similis		SUBSPECIES	x	x	x				
Microspingus cinereus	Poospiza_cinerea	SPECIES	x		x				
Microspingus melanoleucus	Poospiza_melanoleuca	SPECIES	x			x	CH		
Poospiza ornata	Poospiza_ornata	SPECIES	x			x			
Thlypopsis sordida	Thlypopsis_sordida	SPECIES	x	x	x	x			
Thlypopsis sordida sordida		SUBSPECIES	x	x	x	x			
Thlypopsis pyrrhocoma	Pyrrhocoma_ruficeps	SPECIES	x		x				
Cypsnagra hirundinacea	Cypsnagra_hirundinacea	SPECIES	x	x	x				
Cypsnagra hirundinacea pallidigula		SUBSPECIES	x	x	x				
Cypsnagra hirundinacea hirundinacea 		SUBSPECIES	x		x				
Piranga flava	Piranga_flava	SPECIES	x	x	x	x			
Piranga flava flava		SUBSPECIES	x			x			
Piranga flava saira		SUBSPECIES	x	x	x				
Granatellus pelzelni	Granatellus_pelzelni	SPECIES	x		x				
Granatellus pelzelni paraensis		SUBSPECIES	x		x				
Pheucticus aureoventris	Pheucticus_aureoventris	SPECIES	x		x	x			migrant in Chaco
Pheucticus aureoventris aureoventris		SUBSPECIES	x		x	x			
Caryothraustes canadensis	Caryothraustes_canadensis	SPECIES	x		x				
Caryothraustes canadensis brasiliensis		SUBSPECIES	x		x				
Amaurospiza moesta	Amaurospiza_moesta	SPECIES	x	x	x				
Cyanoloxia glaucocaerulea	Cyanoloxia_glaucocaerulea	SPECIES	x		x				
Cyanoloxia rothschildii	Cyanocompsa_cyanoides	SPECIES	x		x				Marginal
Cyanoloxia brissonii	Cyanocompsa_brissonii	SPECIES	x	x	x	x			
Cyanoloxia brissonii brissonii		SUBSPECIES	x	x					
Cyanoloxia brissonii sterea		SUBSPECIES	x		x				
Cyanoloxia brissonii argentina		SUBSPECIES	x			x			
Spinus yarrellii	Carduelis_yarrellii	SPECIES	x	x	x				
Spinus magellanicus	Carduelis_magellanica	SPECIES	x	x	x	x			
Euphonia chlorotica	Euphonia_chlorotica	SPECIES	x	x	x	x			
Euphonia chlorotica chlorotica		SUBSPECIES	x	x	x				
Euphonia chlorotica serrirostris		SUBSPECIES	x		x	x			
Euphonia violacea	Euphonia_violacea	SPECIES	x	x	x				
Euphonia violacea aurantiicollis		SUBSPECIES	x	x	x				
Euphonia laniirostris	Euphonia_laniirostris	SPECIES	x		x				
Euphonia laniirostris laniirostris		SUBSPECIES	x		x				
Euphonia minuta	Euphonia_minuta	SPECIES	x		x				Marginal
Euphonia minuta minuta		SUBSPECIES	x		x				
Cyanophonia cyanocephala	Euphonia_cyanocephala	SPECIES	x	x	x				
Chlorophonia cyanocephala cyanocephala		SUBSPECIES	x	x	x				
Euphonia rufiventris	Euphonia_rufiventris	SPECIES	x		x				Marginal
Estrilda astrild	Estrilda_astrild	SPECIES	x	x	x				Exotic
Passer domesticus	Passer_domesticus	SPECIES	x	x	x	x			Exotic
